,count,mean,std,min,25%,50%,75%,max
R410_mean,204.0,0.10181689057787499,0.010980337749368302,0.06575671033151373,0.0950176013771605,0.10061614137609748,0.10869649409760083,0.13687768187671148
R410_std,204.0,0.02976598511285922,0.007873515097582261,0.016436086761767704,0.024662085012970965,0.028102677337479686,0.032764219341461,0.06174202247894692
R410_p25,204.0,0.08037635393659859,0.011185264267624196,0.05376344174146652,0.07274636812508106,0.08072661980986595,0.08725163526833057,0.11616161465644836
R410_p75,204.0,0.12009862711762681,0.013897488554872725,0.07567567378282547,0.1111111119389534,0.11827956885099411,0.12851157784461975,0.18592964112758636
R460_mean,204.0,0.0889270634629667,0.018904410479809477,0.05166119506596993,0.07731110315126725,0.0868019346936153,0.09515606902514354,0.1972502968598654
R460_std,204.0,0.033466938700131774,0.01213468471111859,0.013635085399415405,0.025872647819282772,0.030139852957489114,0.03698442338771478,0.11378913584846496
R460_p25,204.0,0.06528192728429157,0.015016700035881108,0.03547963127493858,0.05589904263615608,0.06327430158853531,0.07254423201084137,0.15845667570829391
R460_p75,204.0,0.10859325791106504,0.02362783892531579,0.06200527772307396,0.09396022371947765,0.10445738583803177,0.11685377731919289,0.2364066243171692
R670_mean,204.0,0.1116722363450219,0.07378278846582088,0.049981119054975744,0.07909874322845464,0.0906146559543311,0.11357706695834713,0.5896255509498196
R670_std,204.0,0.05487650795499401,0.04153544966222447,0.01310761617981073,0.029215025157825827,0.039881738531112335,0.061271820124967014,0.25112949295473747
R670_p25,204.0,0.07446148537793289,0.051987742418649056,0.027027027681469917,0.054363761097192764,0.06476086005568504,0.07664315216243267,0.4943041205406189
R670_p75,204.0,0.1379278111819397,0.09864214691083929,0.06067056953907013,0.09476381726562977,0.10882466286420822,0.13351772725582123,0.699009895324707
R700_mean,204.0,0.3053208056693176,0.10542479547980696,0.14054621274772086,0.2187907662763338,0.3012252814635108,0.35875896127453927,0.6997378004912342
R700_std,204.0,0.0928987247578928,0.036937222317445555,0.027885929709824554,0.06138989782169171,0.08913672565623237,0.11738848954801821,0.22242516842661278
R700_p25,204.0,0.24268918259836295,0.08854493423843722,0.08430054783821106,0.17897380515933037,0.231138214468956,0.28499437123537064,0.6111429929733276
