rank,feature,mean_abs_shap
1,GNDVI_std,0.3855550915286708
2,NDRE_std,0.34352840808401636
3,d1_all_peak_value,0.28622600335444653
4,ARI_std,0.2499634594998661
5,d1snv_R703,0.23894563754548048
6,d1snv_R423,0.1979547361573712
7,snv_R640,0.18526961471659562
8,snv_R616,0.17199229909236569
9,R800_std,0.1674152164413215
10,R410_std,0.16407967167693172
11,snv_R951,0.15536817897623856
12,d1snv_R673,0.14772470537347973
13,R670_R460_p75,0.14747538985226383
14,snv_R631,0.1468457355542607
15,snv_R730,0.1410334316999033
16,R800_R460_std,0.13883336591873763
17,R460_p25,0.13836236872655008
18,PRI_std,0.13809807079694078
19,CRI_p25,0.13734249068358173
20,snv_R691,0.13705603615794446
21,d1snv_R991,0.1342569823292319
22,snv_R960,0.11772299923985462
23,d1snv_R418,0.11578570632390292
24,d1snv_R957,0.11539778190860676
25,R460_p75,0.11101862862178352
26,REP_p75,0.11013589755427264
27,snv_R625,0.1060102805797422
28,NDVI_std,0.10381044265265231
29,d1snv_R963,0.10306505125059819
30,d1snv_R700,0.0990511363326889
31,d1snv_R917,0.09407788661396486
32,d1snv_R948,0.08038202959896015
33,snv_R856,0.07990772746558031
34,R410_p75,0.07962604366719556
35,ZTM_std,0.07831842352859503
36,d1snv_R970,0.07646972754167009
37,R670_R460_mean,0.07630939926752181
38,d1snv_R899,0.07335623119507145
39,d1snv_R994,0.07161242343945791
40,mARI_std,0.07005397533190083
41,PRI_p75,0.06847225659290035
42,d1snv_R578,0.06821093719700087
43,R800_mean,0.06805171969500845
44,snv_R948,0.06500380688010714
45,snv_R605,0.06449491204094142
46,d1snv_R549,0.06438465214242017
47,d1snv_R893,0.0632435816444337
48,R410_p25,0.061449066719384396
49,d1snv_R859,0.06126027317615176
50,d1snv_R985,0.060207577423194596
51,snv_R991,0.05571036355917209
52,NBI_std,0.05526719778962236
53,snv_R963,0.05494300657546908
54,d1snv_R554,0.054877385666868915
55,FRI_p75,0.0526604766055669
56,d1snv_R905,0.05230323457072041
57,d1snv_R960,0.05225080895916302
58,FRI_x_NDRE_std,0.051662899934826194
59,d1snv_R560,0.0515754077051001
60,d1snv_R557,0.051297578498401664
61,cont_BandI_depth,0.05086904713192612
62,snv_R694,0.048907689258907615
63,d1snv_R945,0.04879034529345361
64,BES_std,0.047583588463728524
65,d1snv_R841,0.046772465843131175
66,snv_R634,0.04635899948688677
67,WBI_std,0.0457005941463768
68,R700_p75,0.04411304706879074
69,snv_R748,0.04308613795202111
70,logNBI_mean,0.04097309667447251
71,BES_mean,0.03993685308052118
72,snv_R688,0.039657202996825014
73,R800_p75,0.03861268356520169
74,SIPI_std,0.038530484665672445
75,ZTM_p75,0.038486341214668346
76,ARI_p25,0.03843712875977964
77,snv_R619,0.03823565327582443
78,FLAVI_p25,0.03716043466444786
79,R800_R460_p25,0.03640991241059441
80,d1snv_R826,0.035741224136843684
81,R670_R460_p25,0.03528324616940377
82,d1snv_R590,0.03433269771891063
83,d1snv_R850,0.03427773033985794
84,snv_R805,0.03395492518791141
85,BES_p25,0.03370068515542119
86,RVSI_std,0.032980167403787314
87,snv_R820,0.03296242372363413
88,NBI_mean,0.03286581304730975
89,R410_mean,0.031750644831764194
90,d1snv_R706,0.03155935845037616
91,d1snv_R415,0.03127748525824335
92,snv_R847,0.03124260308494146
93,snv_R982,0.030914675727573216
94,snv_R985,0.03034141161917278
95,snv_R613,0.030142082995372726
96,REP_p25,0.030137118343177234
97,snv_R862,0.029756370313981248
98,snv_R1004,0.029314423140852308
99,snv_R859,0.02919519446193542
100,snv_R739,0.029073423326365498
101,d1snv_R628,0.029040962599169245
102,d1snv_R409,0.02886342204744425
103,d1snv_R951,0.028766947946109803
104,d1snv_R694,0.028556995975363965
105,d1snv_R920,0.02843712581651064
106,R800_p25,0.02829373629993314
107,d1snv_R426,0.027928373366712035
108,snv_R733,0.027296089587601158
109,d1snv_R832,0.027246909577876885
110,WBI_p25,0.026718072114981575
111,FRI_std,0.02635017018417602
112,d1snv_R988,0.025863913535167204
113,d1snv_R751,0.025646501088414066
114,d1snv_R1000,0.02560298736312805
115,CRI_std,0.025523150648117762
116,FLAVI_std,0.02542824936255738
117,REP_std,0.02537213651263563
118,NBI_p25,0.025208979316245533
119,snv_R505,0.02416649233414854
120,snv_R646,0.023961753240236926
121,snv_R1000,0.02380612473914699
122,d1snv_R581,0.02368675667870883
123,GNDVI_p75,0.023667195721728394
124,d1snv_R646,0.021940811290260143
125,d1snv_R942,0.02162933662060875
126,snv_R596,0.0211182940873067
127,d1snv_R397,0.021023735394277585
128,snv_R790,0.020972760289192025
129,snv_R826,0.020763722330992183
130,d1snv_R596,0.02072956113235588
131,snv_R973,0.01997326762466421
132,logR460_R410_std,0.01981642646084572
133,d1snv_R476,0.019583617401415385
134,snv_R997,0.019548681627607263
135,RVSI_mean,0.019310109235129554
136,snv_R727,0.01928124164742693
137,d1snv_R403,0.018941447001188164
138,d1snv_R835,0.018637863674672076
139,RVSI_p75,0.018420343114587578
140,snv_R397,0.018405494723952604
141,NDVI_mean,0.01839191382565296
142,d1snv_R781,0.018009600886540664
143,NBI_p75,0.017823057362359184
144,d1snv_R464,0.017822745679027186
145,mARI_p25,0.017587147676325708
146,snv_R607,0.01738836416109158
147,snv_R954,0.017255652746793793
148,d1snv_R631,0.017034194034543246
149,CRI_p75,0.016940321966398178
150,d1snv_R757,0.016805842596446314
151,d1snv_R997,0.016742531141133155
152,snv_R811,0.016588873012810583
153,snv_R484,0.0165708199616183
154,snv_R742,0.01638284961815234
155,d1snv_R862,0.016285230498509936
156,d1snv_R676,0.016279828505992588
157,mARI_p75,0.015946989446549313
158,d1snv_R1004,0.015593433983462515
159,snv_R994,0.015378588676787451
160,R700_std,0.01522536052822978
161,d1snv_R808,0.014762880927085652
162,PRI_p25,0.014731989185713303
163,d1snv_R844,0.01380742077135663
164,R670_R460_std,0.013598765241615036
165,snv_R970,0.013542336844689523
166,WBI_mean,0.013477470765275786
167,snv_R902,0.013367164965312891
168,d1snv_R412,0.01315527232943009
169,R800_R460_p75,0.013150764186665493
170,d1snv_R563,0.013139658757702934
171,snv_R850,0.013114218552034295
172,R460_mean,0.013019191062731545
173,snv_R930,0.012931798024581536
174,snv_R736,0.012724343395760895
175,d1snv_R670,0.012643600647635485
176,snv_R766,0.012423045355024462
177,FLAVI_mean,0.012158182856681318
178,snv_R988,0.012067927169804902
179,mARI_mean,0.012022980569193105
180,d1snv_R967,0.011976489475551588
181,d1snv_R493,0.011836319755407061
182,d1snv_R908,0.01151784180877953
183,snv_R823,0.011403180443267559
184,d1snv_R847,0.011343034796870387
185,d1snv_R954,0.011324505305938095
186,PRI_mean,0.011083989119586099
187,snv_R814,0.010940799916691486
188,logNBI_std,0.01085499705970441
189,d1_red_peak_value,0.010836568870741236
190,snv_R832,0.010820725817663152
191,snv_R522,0.010813684620495747
192,d1snv_R432,0.010711676715460573
193,snv_R866,0.010353295678369435
194,d1snv_R470,0.01026743056188276
195,RVSI_p25,0.010212172752466078
196,snv_R724,0.01015051139930802
197,ARI_mean,0.0101361719124843
198,d1snv_R973,0.01008303309739077
199,snv_R637,0.009842020977514267
200,snv_R602,0.009737795318595316
201,d1snv_R887,0.009633506802460067
202,d1snv_R522,0.009623112274670673
203,snv_R412,0.00960952523533488
204,snv_R745,0.009474919779537613
205,snv_R513,0.009462156913084378
206,d1snv_R838,0.009456741599120683
207,snv_R649,0.00942936694512139
208,d1snv_R449,0.009382423441247715
209,FLAVI_p75,0.009362860537941577
210,CRI_mean,0.009338123533749828
211,BES_p75,0.009144622923335984
212,d1snv_R772,0.009079576410988192
213,SIPI_p25,0.009004312590931936
214,d1snv_R866,0.008931427768508008
215,SIPI_mean,0.008769648273475952
216,d1snv_R829,0.00873146901984457
217,snv_R525,0.00865655995551922
218,d1snv_R817,0.008654854959111592
219,d1snv_R896,0.008614898924489989
220,d1snv_R763,0.008385518125381807
221,R460_std,0.008350580154701649
222,snv_R933,0.00815032398179388
223,d1snv_R823,0.007985354220496715
224,d1snv_R787,0.00792609163998039
225,d1snv_R869,0.007843149295616858
226,d1snv_R587,0.007777780048449858
227,d1snv_R715,0.007618377098991038
