feature_index,feature,vip
71,ZTM_p75,1.8043949076142782
69,ZTM_std,1.7876840291299223
214,snv_R721,1.7858316143473552
213,snv_R718,1.7818093376755508
215,snv_R724,1.7776935317080353
212,snv_R715,1.7687317834475986
428,d1snv_R751,1.761308242666293
427,d1snv_R748,1.757718674667722
211,snv_R712,1.7510520234976517
426,d1snv_R745,1.7477297014252138
216,snv_R727,1.7469885382755173
429,d1snv_R754,1.7442882530422092
425,d1snv_R742,1.7329471025777803
210,snv_R709,1.726762724530625
424,d1snv_R739,1.719772434725758
68,ZTM_mean,1.7145990805692581
423,d1snv_R736,1.7049072249603758
209,snv_R706,1.695240114565339
430,d1snv_R757,1.6917417193046733
422,d1snv_R733,1.68758609831482
217,snv_R730,1.6741214632335741
514,d1_red_peak_wl,1.6717229640008058
421,d1snv_R730,1.6672308942001721
92,REP_mean,1.6535098247738345
208,snv_R703,1.6528060307503263
27,NDRE_p75,1.6416608860238155
420,d1snv_R727,1.6407521313306086
95,REP_p75,1.6156483774067072
419,d1snv_R724,1.6049953343350438
207,snv_R700,1.5927670709808288
94,REP_p25,1.5898473092080856
431,d1snv_R760,1.5855746125456016
70,ZTM_p25,1.574662699108597
407,d1snv_R688,1.5701815627142126
406,d1snv_R685,1.5694463604481002
24,NDRE_mean,1.5672859085459294
405,d1snv_R682,1.5609359505414606
408,d1snv_R691,1.5590064885460146
418,d1snv_R721,1.5551471259690532
404,d1snv_R679,1.5469581977587155
218,snv_R733,1.534782955961076
102,FLAVI_p25,1.5324005945752122
409,d1snv_R694,1.5286848266060535
403,d1snv_R676,1.5055655455801542
206,snv_R697,1.5053911042561687
66,RVSI_p25,1.4888190385906974
417,d1snv_R718,1.4814345901413217
64,RVSI_mean,1.4761336574704633
26,NDRE_p25,1.4760272353371786
410,d1snv_R697,1.4606370745468669
100,FLAVI_mean,1.455605267779109
12,R700_mean,1.4443620039682452
14,R700_p25,1.4433344536824841
15,R700_p75,1.4254213731443521
67,RVSI_p75,1.4048573330785403
103,FLAVI_p75,1.395157045386602
432,d1snv_R763,1.3791039504037246
205,snv_R694,1.3750597607555652
81,mARI_std,1.3711365752113345
416,d1snv_R715,1.3645859308775923
411,d1snv_R700,1.320295710133062
219,snv_R736,1.3191677868558653
142,snv_R508,1.2815235442851898
143,snv_R510,1.2734026439798685
74,CRI_p25,1.2555969460742429
279,snv_R917,1.2513764589049223
184,snv_R631,1.249754216868847
277,snv_R911,1.2488478467150594
278,snv_R914,1.2467200545879826
274,snv_R902,1.246189227427897
282,snv_R927,1.2437453573070723
183,snv_R628,1.2435678367212495
281,snv_R924,1.2430501127258569
185,snv_R634,1.2424698997671575
283,snv_R930,1.2418623594884821
72,CRI_mean,1.2410656537048184
280,snv_R920,1.2404085691476106
276,snv_R908,1.2372726453511336
272,snv_R896,1.235861922648271
182,snv_R625,1.2341821922540535
268,snv_R884,1.2310163070791924
284,snv_R933,1.2303304910009898
285,snv_R936,1.2280187753264715
270,snv_R890,1.227632814786754
269,snv_R887,1.2275066104746037
257,snv_R850,1.2243514815030492
271,snv_R893,1.2232573945971597
181,snv_R622,1.221508253863551
186,snv_R637,1.2193872156565368
266,snv_R878,1.217851580784845
75,CRI_p75,1.2173197552633395
286,snv_R939,1.2172994679668765
273,snv_R899,1.2171555553864728
275,snv_R905,1.2168037086362502
141,snv_R505,1.2142088509656395
288,snv_R945,1.208412278901367
180,snv_R619,1.2083118907636454
267,snv_R881,1.203368997465079
263,snv_R869,1.2007635152088196
264,snv_R872,1.1995609493785735
83,mARI_p75,1.1993628987799578
204,snv_R691,1.1968100795637364
265,snv_R875,1.1962165847598976
61,ARI_std,1.193871014313085
256,snv_R847,1.1924796815603922
262,snv_R866,1.191620800911524
30,NBI_p25,1.1905781901877084
76,PRI_mean,1.1893239284271722
261,snv_R862,1.1866705379655922
179,snv_R616,1.1861492723506115
80,mARI_mean,1.1857830039910529
362,d1snv_R554,1.1821609550292442
287,snv_R942,1.1819608026420354
63,ARI_p75,1.1818224260515675
60,ARI_mean,1.181811463717599
415,d1snv_R712,1.1783181991089313
255,snv_R844,1.1781486143906332
187,snv_R640,1.1781233683939047
78,PRI_p25,1.1746722902270774
258,snv_R853,1.1701248858407036
398,d1snv_R661,1.1660609660303016
399,d1snv_R664,1.1650180498726055
254,snv_R841,1.1589688074597169
397,d1snv_R658,1.157491495449642
253,snv_R838,1.1569850676109739
178,snv_R613,1.1541946848692661
363,d1snv_R557,1.1538546698531336
140,snv_R502,1.1529531985860615
260,snv_R859,1.1520836709083273
13,R700_std,1.1514068666490742
289,snv_R948,1.1471286736701323
82,mARI_p25,1.1467797093402234
252,snv_R835,1.1464672634350979
62,ARI_p25,1.1433586872624948
79,PRI_p75,1.1408233065986149
292,snv_R957,1.1403838153301336
259,snv_R856,1.1398226214715823
290,snv_R951,1.13952187314204
251,snv_R832,1.1385820648707148
396,d1snv_R655,1.1376286242980878
400,d1snv_R667,1.1335162337162352
249,snv_R826,1.1310480658533648
250,snv_R829,1.1246773003962187
248,snv_R823,1.124589939972319
188,snv_R643,1.1232936508610454
247,snv_R820,1.1166769521946054
291,snv_R954,1.1106492899609655
139,snv_R499,1.108735963359471
177,snv_R610,1.1083222696281871
246,snv_R817,1.107183640996087
144,snv_R513,1.10250482433563
395,d1snv_R652,1.1012460302338256
433,d1snv_R766,1.089068567389879
364,d1snv_R560,1.0806168936395841
138,snv_R496,1.0794263310408434
245,snv_R814,1.0786050179800206
294,snv_R963,1.0677983652839678
293,snv_R960,1.0668660271507497
412,d1snv_R703,1.0667565419826088
244,snv_R811,1.0664448246375673
49,logNBI_std,1.0663992451069548
189,snv_R646,1.0633130661597567
137,snv_R493,1.05974708199606
17,R800_std,1.0550825032993805
176,snv_R607,1.0540170454667832
220,snv_R739,1.0530235364264346
36,R670_R460_mean,1.0527308037868432
136,snv_R490,1.0462779629533403
242,snv_R805,1.0436870856430729
243,snv_R808,1.0435441656570172
361,d1snv_R551,1.0432175899557752
394,d1snv_R649,1.039111081907011
135,snv_R487,1.0367395789521154
39,R670_R460_p75,1.0362209681751449
18,R800_p25,1.0340504421958205
241,snv_R802,1.0326465366265452
134,snv_R484,1.0299962135122775
133,snv_R481,1.024868723249825
240,snv_R799,1.0231958271504025
132,snv_R478,1.0212428299559235
295,snv_R967,1.0197061022424148
365,d1snv_R563,1.0183678635176516
131,snv_R476,1.0175168676109982
130,snv_R473,1.014654344015859
52,NDVI_mean,1.013345675692919
190,snv_R649,1.0133423954428709
37,R670_R460_std,1.0118134525813438
129,snv_R470,1.0112950631466877
128,snv_R467,1.0083885122963974
239,snv_R796,1.0074205990147806
127,snv_R464,1.005042749365913
298,snv_R976,1.0039365624057737
314,d1snv_R415,1.0025524641717887
25,NDRE_std,1.0020388608076014
126,snv_R461,1.0013852985987468
125,snv_R458,0.9977255307696883
376,d1snv_R596,0.9960499058883263
124,snv_R455,0.9939945804638588
238,snv_R793,0.9929384539021147
54,NDVI_p25,0.9925574422842908
73,CRI_std,0.991760624507191
175,snv_R605,0.9913782717605324
375,d1snv_R593,0.9912504502152184
203,snv_R688,0.9891895705219365
123,snv_R452,0.9882624872255551
377,d1snv_R599,0.9859638730491437
297,snv_R973,0.982787246568335
122,snv_R449,0.9827246937609978
313,d1snv_R412,0.9827178162005978
38,R670_R460_p25,0.979868530724604
191,snv_R652,0.9783113202271198
121,snv_R446,0.9774419115924243
366,d1snv_R566,0.9738577888765126
237,snv_R790,0.9729054949408668
374,d1snv_R590,0.9721785864905437
120,snv_R444,0.9709274691307921
55,NDVI_p75,0.9700989011741467
6,R460_p25,0.9698382712433191
8,R670_mean,0.9672178513422233
119,snv_R441,0.965323035928868
401,d1snv_R670,0.9642408476936332
296,snv_R970,0.9630809812012194
378,d1snv_R602,0.9614582393671355
29,NBI_std,0.9614294302970092
118,snv_R438,0.9606657238229648
11,R670_p75,0.9605907858696305
117,snv_R435,0.9562435643273676
312,d1snv_R409,0.9558924385527863
299,snv_R979,0.9522563824448882
116,snv_R432,0.9499978145398775
393,d1snv_R646,0.9476150582440191
192,snv_R655,0.9475287282192888
115,snv_R429,0.9455593894305842
373,d1snv_R587,0.9448002439354732
236,snv_R787,0.9443921299337472
367,d1snv_R569,0.9427760180673528
114,snv_R426,0.9416303751592069
311,d1snv_R406,0.9378820484160362
113,snv_R423,0.9375331313718853
21,FRI_std,0.9362812161210567
2,R410_p25,0.9359298420138092
112,snv_R420,0.9333519511000775
235,snv_R784,0.9328367297118959
111,snv_R418,0.9308042401096214
45,FRI_x_NDRE_std,0.9306687792498756
379,d1snv_R605,0.9281339737239334
174,snv_R602,0.9274456990124335
22,FRI_p25,0.9268325574102216
310,d1snv_R403,0.9263247670708957
110,snv_R415,0.9262755199552143
414,d1snv_R709,0.9228348244899631
109,snv_R412,0.9225676903678014
516,d1_blue_peak_wl,0.9217712875261606
368,d1snv_R572,0.9215708234129826
315,d1snv_R418,0.9198182452585547
372,d1snv_R584,0.9197527834098166
309,d1snv_R400,0.9186275862921673
108,snv_R409,0.9183515724222846
10,R670_p25,0.9171074946087553
107,snv_R406,0.9148554906185602
303,snv_R991,0.913487912081635
308,d1snv_R397,0.9132534833790013
300,snv_R982,0.9125198867510457
234,snv_R781,0.9123482733526375
106,snv_R403,0.9096655055253258
369,d1snv_R575,0.9062137647642176
301,snv_R985,0.9059610487119029
193,snv_R658,0.9051568980088551
233,snv_R778,0.9051188217036137
105,snv_R400,0.9041940679931901
371,d1snv_R581,0.9041407052726489
28,NBI_mean,0.9036082923896227
370,d1snv_R578,0.900877294399827
104,snv_R397,0.8938562336023909
145,snv_R516,0.8926994443949352
46,FRI_x_NDRE_p25,0.890782196000297
101,FLAVI_std,0.8905421485093487
380,d1snv_R607,0.8898673255795707
232,snv_R775,0.8893108866957037
4,R460_mean,0.8852609789616129
85,SIPI_std,0.8816348429011756
231,snv_R772,0.8770051734606015
515,d1_red_peak_value,0.8769095084958146
44,FRI_x_NDRE_mean,0.8762927013704545
302,snv_R988,0.8701098668075375
9,R670_std,0.8694666410819546
173,snv_R599,0.8660642495783082
230,snv_R769,0.865990468695219
43,R800_R460_p75,0.8649869958613366
229,snv_R766,0.8640471966024595
381,d1snv_R610,0.8594402836900553
84,SIPI_mean,0.8549506239864237
77,PRI_std,0.8548006870645093
40,R800_R460_mean,0.8543337291077427
20,FRI_mean,0.8541102249752139
93,REP_std,0.8540848806982534
7,R460_p75,0.8536303680108481
320,d1snv_R432,0.8516349297642509
99,BES_p75,0.8502304642213362
316,d1snv_R420,0.8489220704404473
321,d1snv_R435,0.8487297618819022
322,d1snv_R438,0.8475337594626774
86,SIPI_p25,0.8469097996378541
319,d1snv_R429,0.8450177485796052
65,RVSI_std,0.8440136858419177
194,snv_R661,0.8414589415569029
332,d1snv_R467,0.8412467682068291
323,d1snv_R441,0.8391751483107296
333,d1snv_R470,0.8389640055642296
382,d1snv_R613,0.8382331214726629
392,d1snv_R643,0.8347109222050424
434,d1snv_R769,0.8342687486030737
402,d1snv_R673,0.8325836488019545
318,d1snv_R426,0.8315872717722967
331,d1snv_R464,0.8304294666023679
383,d1snv_R616,0.8290497517346935
87,SIPI_p75,0.8263717393903701
324,d1snv_R444,0.8252708896842047
317,d1snv_R423,0.8250856949074384
34,logR460_R410_p25,0.8228488267770695
334,d1snv_R473,0.8222045995400773
330,d1snv_R461,0.8208308791219723
384,d1snv_R619,0.820056298877893
413,d1snv_R706,0.819828812919214
518,d1_all_peak_wl,0.8168263959004592
202,snv_R685,0.8155701700115622
325,d1snv_R446,0.8152556350584317
53,NDVI_std,0.8150717997088478
360,d1snv_R549,0.8142514294723439
0,R410_mean,0.8128901374737855
221,snv_R742,0.8125469501438385
329,d1snv_R458,0.8114651355145702
228,snv_R763,0.8105468410573183
