scheme,model,label,fold,accuracy,balanced_accuracy,macro_f1,mae,qwk,f1_class_0,f1_class_1,f1_class_2,f1_class_3
4cls,random_forest,RandomForest,1,0.696078431372549,0.37681818181818183,0.36494559419671435,0.3137254901960784,0.5133314622509122,0.0,0.0,0.7155963302752294,0.7441860465116279
4cls,random_forest,RandomForest,2,0.696078431372549,0.3744870041039672,0.3616210413311862,0.3137254901960784,0.4899999999999999,0.0,0.0,0.7304347826086957,0.7160493827160493
4cls,random_forest,RandomForest,mean,0.696078431372549,0.3756525929610745,0.3632833177639503,0.3137254901960784,0.501665731125456,0.0,0.0,0.7230155564419625,0.7301177146138387
4cls,lightgbm,LightGBM,1,0.6078431372549019,0.32772727272727276,0.3163004053765735,0.43137254901960786,0.25568341285433616,0.0,0.0,0.6605504587155964,0.6046511627906976
4cls,lightgbm,LightGBM,2,0.6372549019607843,0.3441632466940264,0.3452600092038656,0.4215686274509804,0.37262357414448666,0.0,0.0,0.6981132075471698,0.6829268292682927
4cls,lightgbm,LightGBM,mean,0.6225490196078431,0.3359452597106496,0.33078020729021956,0.42647058823529416,0.3141534934994114,0.0,0.0,0.6793318331313831,0.6437889960294951
4cls,ordinal_logistic,FrankHall(LogReg),1,0.6666666666666666,0.42188311688311686,0.43420569830518563,0.35294117647058826,0.4727319720858103,0.0,0.36363636363636365,0.6990291262135923,0.6741573033707865
4cls,ordinal_logistic,FrankHall(LogReg),2,0.6274509803921569,0.3383492932056543,0.33083242059145673,0.4019607843137255,0.3502304147465437,0.0,0.0,0.6727272727272727,0.6506024096385542
4cls,ordinal_logistic,FrankHall(LogReg),mean,0.6470588235294117,0.3801162050443856,0.3825190594483212,0.37745098039215685,0.411481193416177,0.0,0.18181818181818182,0.6858781994704325,0.6623798565046704
3cls,random_forest,RandomForest,1,0.6829268292682927,0.587037037037037,0.6011695906432748,0.3170731707317073,0.5641864268192969,0.4,0.6666666666666666,0.7368421052631579,
3cls,random_forest,RandomForest,2,0.6097560975609756,0.43703703703703706,0.43274053807569546,0.4146341463414634,0.3392705682782019,0.0,0.6511627906976745,0.6470588235294118,
3cls,random_forest,RandomForest,3,0.7804878048780488,0.5602240896358542,0.5411764705882353,0.21951219512195122,0.6455331412103746,0.0,0.8,0.8235294117647058,
3cls,random_forest,RandomForest,4,0.7073170731707317,0.5186274509803922,0.4963768115942029,0.2926829268292683,0.5469613259668509,0.0,0.7391304347826086,0.75,
3cls,random_forest,RandomForest,5,0.675,0.47647058823529415,0.45918367346938777,0.325,0.4420600858369099,0.0,0.7346938775510204,0.6428571428571429,
3cls,random_forest,RandomForest,mean,0.6910975609756097,0.5158792405851229,0.5061294168741592,0.31378048780487805,0.5076023096223269,0.08,0.718330753939594,0.7200574966828837,
3cls,lightgbm,LightGBM,1,0.7073170731707317,0.6037037037037036,0.6189189189189189,0.2926829268292683,0.5940594059405941,0.4,0.7,0.7567567567567568,
3cls,lightgbm,LightGBM,2,0.6097560975609756,0.4407407407407407,0.45274725274725275,0.4146341463414634,0.4447612259444048,0.0,0.6153846153846154,0.7428571428571429,
3cls,lightgbm,LightGBM,3,0.6585365853658537,0.47338935574229696,0.46112956810631234,0.36585365853658536,0.37934105075690117,0.0,0.6976744186046512,0.6857142857142857,
3cls,lightgbm,LightGBM,4,0.6585365853658537,0.48235294117647065,0.46105072463768115,0.34146341463414637,0.4714548802946593,0.0,0.6956521739130435,0.6875,
3cls,lightgbm,LightGBM,5,0.65,0.46274509803921565,0.4541062801932367,0.35,0.453125,0.0,0.6956521739130435,0.6666666666666666,
3cls,lightgbm,LightGBM,mean,0.656829268292683,0.49258636788048554,0.4895905489206804,0.35292682926829266,0.4685483125873119,0.08,0.6808726763630707,0.7078989703989704,
3cls,ordinal_logistic,FrankHall(LogReg),1,0.6829268292682927,0.5888888888888889,0.5995495495495495,0.3170731707317073,0.5718875502008032,0.4,0.6486486486486487,0.75,
3cls,ordinal_logistic,FrankHall(LogReg),2,0.5853658536585366,0.4185185185185185,0.4094276094276094,0.4146341463414634,0.36463081130355524,0.0,0.6222222222222222,0.6060606060606061,
3cls,ordinal_logistic,FrankHall(LogReg),3,0.6829268292682927,0.6834733893557422,0.6365079365079365,0.3170731707317073,0.6190135811293782,0.5,0.6666666666666666,0.7428571428571429,
3cls,ordinal_logistic,FrankHall(LogReg),4,0.6829268292682927,0.5627450980392158,0.5797101449275361,0.34146341463414637,0.4487394957983193,0.3333333333333333,0.7391304347826086,0.6666666666666666,
3cls,ordinal_logistic,FrankHall(LogReg),5,0.65,0.5601307189542483,0.5777777777777778,0.35,0.5035460992907801,0.4,0.6666666666666666,0.6666666666666666,
3cls,ordinal_logistic,FrankHall(LogReg),mean,0.656829268292683,0.5627513227513228,0.5605946036380819,0.34804878048780485,0.5015635075445672,0.32666666666666666,0.6686669277973626,0.6864502164502164,
