stage,model,target,R2,RMSE,RPD,MAPE,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,mae,qwk,precision,recall,f1,auc_roc,threshold
classical,huber,chlorophyll,0.58912020512547,5.9624598977262515,1.5600646903544724,32.48970342219866,,,,,,,,,,,,
classical,huber,flavonol,-0.6964689504552048,0.7480395637566485,0.7677627587162789,17.292472168082305,,,,,,,,,,,,
classical,huber,nbi,0.031308808336529714,3.3114112107919946,1.0160318557693333,57.28987433789404,,,,,,,,,,,,
classical,lightgbm,chlorophyll,0.8297268712522269,3.838319625382641,2.4234102581204313,17.000050296533235,,,,,,,,,,,,
classical,lightgbm,flavonol,0.38570546231614034,0.45013205101930376,1.275885415842332,11.567249562084386,,,,,,,,,,,,
classical,lightgbm,nbi,0.7563392816569667,1.660784180984002,2.025849786046809,20.71807343085631,,,,,,,,,,,,
classical,pls,chlorophyll,0.7989191493288821,4.171127213179183,2.2300502187291302,20.73385648407506,,,,,,,,,,,,
classical,pls,flavonol,0.2960995635690674,0.48184485692842904,1.1919125229638645,11.944282761837927,,,,,,,,,,,,
classical,pls,nbi,0.6897036722869504,1.8741690312464936,1.795195215384957,28.8779022777778,,,,,,,,,,,,
classical,random_forest,chlorophyll,0.8432919116028289,3.6822543586816234,2.526121839510197,16.305120373379612,,,,,,,,,,,,
classical,random_forest,flavonol,0.36099905592358705,0.45909478602014486,1.2509767842876904,11.74427140522932,,,,,,,,,,,,
classical,random_forest,nbi,0.7402866727322528,1.7146187061451121,1.9622434222011924,20.793604481355757,,,,,,,,,,,,
classical,ridge,chlorophyll,0.7108581535185314,5.00176811296778,1.8597069964081285,25.231310408949614,,,,,,,,,,,,
classical,ridge,flavonol,-0.024320991941640058,0.5812589420267537,0.9880569184814227,14.096267020765355,,,,,,,,,,,,
classical,ridge,nbi,0.5067705536423499,2.362897798622911,1.4238869237921268,38.628274889707356,,,,,,,,,,,,
classical,stacking,chlorophyll,0.8406778775159836,3.712839024591184,2.5053128057771037,16.107644448436822,,,,,,,,,,,,
classical,stacking,flavonol,0.39796193933859836,0.44561888190538473,1.2888074146298563,11.508293239588188,,,,,,,,,,,,
classical,stacking,nbi,0.7474536386745829,1.6907951648299298,1.9898917075829152,20.820778644316675,,,,,,,,,,,,
deep_learning,autoencoder,stress,,,,,0.8536585365853658,0.8399621212121212,0.8430555555555554,0.8399621212121212,0.8385709249911872,,,,,,,
deep_learning,cnn1d,stress,,,,,0.7317073170731707,0.6903409090909091,0.8257575757575757,0.6903409090909091,0.7292324792324791,,,,,,,
deep_learning,cnn_lstm,stress,,,,,0.6829268292682927,0.6415719696969697,0.6694444444444445,0.6415719696969697,0.6443326453388373,,,,,,,
deep_learning,mlp,stress,,,,,0.8048780487804879,0.7859848484848485,0.7770833333333333,0.7859848484848485,0.7778897849462365,,,,,,,
deep_learning,resnet1d,stress,,,,,0.7560975609756098,0.7286931818181819,0.837719298245614,0.7286931818181819,0.7596273291925465,,,,,,,
deep_learning,rnn,stress,,,,,0.36585365853658536,0.31486742424242425,0.2536075036075036,0.31486742424242425,0.2791973791973792,,,,,,,
deep_learning,transformer,stress,,,,,0.6097560975609756,0.587594696969697,0.6160714285714286,0.587594696969697,0.5861111111111111,,,,,,,
ordinal,random_forest,flavonol_4cls,,,,,0.696078431372549,0.3756525929610745,,,0.3632833177639503,0.3137254901960784,0.501665731125456,,,,,
ordinal,lightgbm,flavonol_4cls,,,,,0.6225490196078431,0.3359452597106496,,,0.3307802072902195,0.4264705882352941,0.3141534934994114,,,,,
ordinal,ordinal_logistic,flavonol_4cls,,,,,0.6470588235294117,0.3801162050443856,,,0.3825190594483212,0.3774509803921568,0.411481193416177,,,,,
ordinal,random_forest,flavonol_3cls,,,,,0.6910975609756097,0.5158792405851229,,,0.5061294168741592,0.313780487804878,0.5076023096223269,,,,,
ordinal,lightgbm,flavonol_3cls,,,,,0.656829268292683,0.4925863678804855,,,0.4895905489206804,0.3529268292682926,0.4685483125873119,,,,,
ordinal,ordinal_logistic,flavonol_3cls,,,,,0.656829268292683,0.5627513227513228,,,0.5605946036380819,0.3480487804878048,0.5015635075445672,,,,,
anomaly,isolation_forest,flavonol_pheur,,,,,,,,,,,,0.5480225988700564,0.8290598290598291,0.6598639455782312,0.5147853423715493,
anomaly,one_class_svm,flavonol_pheur,,,,,,,,,,,,0.5876288659793815,0.9743589743589745,0.7331189710610932,0.6945672462913842,
anomaly,autoencoder,flavonol_pheur,,,,,,,,,,,,0.8181818181818182,0.0769230769230769,0.140625,0.6959426269771097,383.0069597848834
