feature,wavelength_nm,mean_rank,median_rank,appearances,rank_shap,rank_rfe,rank_ga_flavonol_lightgbm,rank_ga_flavonol_pls,rank_vip_chlorophyll,rank_vip_flavonol,rank_vip_nbi
ZTM_std,,57.0,36.0,6,35,36,35,152,56,83,2
REP_p75,,74.57142857142857,47.0,6,26,51,47,152,40,178,28
CRI_p25,,76.14285714285714,38.0,6,19,38,38,152,211,10,65
snv_R727,727.0,85.71428571428571,76.0,7,136,76,107,68,15,187,11
snv_R730,730.0,89.85714285714286,69.0,6,15,77,255,69,28,164,21
ZTM_p75,,93.42857142857143,37.0,6,75,37,255,14,1,271,1
NBI_std,,96.0,17.0,7,52,17,12,5,358,4,224
ARI_p25,,97.42857142857143,76.0,6,76,32,31,152,231,26,134
R460_p25,460.0,102.14285714285714,69.0,6,17,5,2,152,252,69,218
snv_R724,724.0,107.42857142857143,106.0,6,196,75,106,152,8,210,5
mARI_mean,,109.71428571428571,111.0,6,179,42,42,152,225,17,111
ARI_mean,,110.42857142857143,115.0,6,197,30,30,152,229,20,115
mARI_std,,110.57142857142857,59.0,5,40,171,255,16,232,1,59
ARI_std,,114.57142857142857,104.0,5,4,31,255,152,245,11,104
PRI_mean,,116.14285714285714,134.0,6,186,39,40,152,134,154,108
GNDVI_std,,117.42857142857143,29.0,7,1,29,28,11,284,81,388
R670_R460_p75,670.0,118.0,23.0,7,13,23,17,6,197,396,174
snv_R733,733.0,119.42857142857143,108.0,5,108,78,255,152,49,153,41
d1snv_R700,700.0,120.85714285714286,123.0,6,30,123,206,152,61,213,61
PRI_p25,,122.42857142857143,119.0,6,162,40,255,15,156,110,119
FLAVI_mean,,123.85714285714286,152.0,5,177,171,49,152,44,223,51
R700_std,700.0,126.57142857142857,106.0,7,160,7,4,2,106,477,130
FLAVI_p75,,127.0,123.0,5,209,171,255,23,52,123,56
snv_R625,625.0,127.85714285714286,69.0,7,27,59,93,56,69,511,80
CRI_p75,,128.14285714285714,149.0,5,149,171,39,152,204,91,91
REP_mean,,128.71428571428572,49.0,6,276,49,255,19,22,256,24
snv_R616,616.0,130.42857142857142,88.0,7,8,56,91,54,88,506,110
RVSI_mean,,132.42857142857142,48.0,6,135,33,33,152,45,481,48
snv_R721,721.0,133.28571428571428,74.0,7,449,74,105,67,4,231,3
R800_mean,800.0,134.28571428571428,152.0,6,43,9,6,152,224,158,348
logNBI_std,,135.0,161.0,6,188,171,23,10,385,7,161
R670_R460_std,670.0,135.0,164.0,6,164,21,16,152,237,168,187
snv_R715,715.0,135.42857142857142,104.0,6,329,72,104,152,7,278,6
mARI_p75,,135.57142857142858,152.0,5,157,44,255,152,228,12,101
snv_R736,736.0,136.14285714285714,151.0,5,174,171,255,70,70,151,62
d1snv_R694,694.0,136.71428571428572,121.0,6,104,121,255,128,39,267,43
PRI_p75,,138.42857142857142,152.0,5,41,41,255,152,162,183,135
d1snv_R751,751.0,140.42857142857142,152.0,5,113,171,216,152,3,321,7
mARI_p25,,140.57142857142858,145.0,5,145,43,255,152,235,22,132
R800_std,800.0,140.71428571428572,152.0,5,9,10,255,152,387,8,164
REP_p25,,141.0,96.0,5,96,171,255,20,27,387,31
R670_R460_mean,670.0,141.57142857142858,152.0,6,37,20,15,152,181,419,167
FRI_std,,141.85714285714286,111.0,6,111,13,255,3,368,3,240
snv_R739,739.0,142.71428571428572,166.0,6,100,171,108,71,212,171,166
d1snv_R560,560.0,142.85714285714286,152.0,6,59,111,186,152,240,98,154
NDRE_p75,,145.57142857142858,26.0,6,264,16,255,4,26,428,26
snv_R634,634.0,145.57142857142858,77.0,6,66,62,94,152,77,494,74
snv_R631,631.0,145.71428571428572,66.0,6,14,61,255,57,66,500,67
d1snv_R554,554.0,145.85714285714286,119.0,6,54,109,255,119,146,226,112
snv_R513,513.0,145.85714285714286,171.0,6,205,171,73,37,202,182,151
