feature,wavelength_nm,mean_rank,median_rank,appearances,rank_shap,rank_rfe,rank_ga_flavonol_lightgbm,rank_ga_flavonol_pls,rank_vip_chlorophyll,rank_vip_flavonol,rank_vip_nbi
snv_R727,727,85.71428571428571,76.0,7,136,76,107,68,15,187,11
snv_R730,730,89.85714285714286,69.0,6,15,77,255,69,28,164,21
snv_R724,724,107.42857142857143,106.0,6,196,75,106,152,8,210,5
snv_R733,733,119.42857142857143,108.0,5,108,78,255,152,49,153,41
d1snv_R700,700,120.85714285714286,123.0,6,30,123,206,152,61,213,61
snv_R625,625,127.85714285714286,69.0,7,27,59,93,56,69,511,80
snv_R616,616,130.42857142857142,88.0,7,8,56,91,54,88,506,110
snv_R721,721,133.28571428571428,74.0,7,449,74,105,67,4,231,3
snv_R715,715,135.42857142857142,104.0,6,329,72,104,152,7,278,6
snv_R736,736,136.14285714285714,151.0,5,174,171,255,70,70,151,62
d1snv_R694,694,136.71428571428572,121.0,6,104,121,255,128,39,267,43
d1snv_R751,751,140.42857142857142,152.0,5,113,171,216,152,3,321,7
snv_R739,739,142.71428571428572,166.0,6,100,171,108,71,212,171,166
d1snv_R560,560,142.85714285714286,152.0,6,59,111,186,152,240,98,154
snv_R634,634,145.57142857142858,77.0,6,66,62,94,152,77,494,74
snv_R631,631,145.71428571428572,66.0,6,14,61,255,57,66,500,67
d1snv_R554,554,145.85714285714286,119.0,6,54,109,255,119,146,226,112
snv_R513,513,145.85714285714286,171.0,6,205,171,73,37,202,182,151
d1snv_R757,757,146.71428571428572,152.0,5,150,171,218,152,18,299,19
d1snv_R557,557,148.57142857142858,148.0,5,60,110,255,152,188,148,127
snv_R703,703,150.57142857142858,101.0,6,267,70,101,152,25,414,25
d1snv_R409,409,152.0,152.0,6,102,101,159,152,259,63,228
d1snv_R703,703,153.28571428571428,159.0,5,5,124,255,152,170,208,159
snv_R948,948,153.71428571428572,142.0,6,44,171,148,98,142,342,131
snv_R691,691,154.71428571428572,102.0,6,20,67,255,64,129,446,102
snv_R951,951,156.57142857142858,138.0,6,11,88,255,99,152,353,138
snv_R694,694,157.85714285714286,68.0,5,62,68,255,152,60,450,58
snv_R640,640,158.57142857142858,118.0,6,7,64,255,59,127,480,118
snv_R622,622,158.85714285714286,88.0,7,232,58,92,55,73,514,88
d1snv_R418,418,159.0,152.0,6,23,103,161,152,388,31,255
d1snv_R676,676,159.42857142857142,152.0,5,156,119,255,152,43,347,44
snv_R712,712,159.57142857142858,152.0,5,357,171,103,152,12,313,9
snv_R718,718,159.85714285714286,152.0,5,379,73,255,152,5,251,4
snv_R502,502,161.71428571428572,128.0,6,258,171,70,35,63,407,128
d1snv_R754,754,162.0,152.0,6,298,137,217,152,9,309,12
d1snv_R697,697,163.14285714285714,152.0,6,332,122,205,152,47,234,50
d1snv_R563,563,165.42857142857142,170.0,6,170,112,187,152,278,77,182
snv_R930,930,166.28571428571428,143.0,6,173,171,143,96,94,412,75
d1snv_R763,763,167.0,171.0,5,220,171,220,152,57,292,57
d1snv_R415,415,167.42857142857142,152.0,5,91,102,255,152,370,9,193
snv_R613,613,168.28571428571428,103.0,6,95,55,255,53,103,491,126
snv_R963,963,168.85714285714286,157.0,6,53,90,255,101,192,334,157
d1snv_R412,412,169.14285714285714,168.0,5,168,171,160,152,300,24,209
d1snv_R691,691,170.0,171.0,4,238,171,255,152,34,302,38
d1snv_R739,739,171.14285714285714,152.0,5,255,134,255,152,13,374,15
snv_R709,709,171.14285714285714,152.0,5,346,71,255,152,14,346,14
d1snv_R682,682,171.28571428571428,152.0,6,283,120,204,152,35,368,37
d1snv_R688,688,171.28571428571428,171.0,5,252,171,255,127,31,329,34
snv_R960,960,171.85714285714286,158.0,5,22,89,255,152,186,341,158
snv_R510,510,173.85714285714286,152.0,5,372,171,72,152,64,322,64
